0,1,2,3,4
5.0,"August 3, 2021",Thank you!,This is good price and great product!,Mark
2.0,"August 2, 2021",No title,Whatever liquid thats not absorbed in the towels will leak out during shipping. Other than that great product,James
5.0,"August 1, 2021",No title,"Love these, very easy to use",Ro
5.0,"August 1, 2021",Protecting those you love.,Very confident in using these wipes on surfaces. With viruses you can never be to safe in protecting those you love.,Maryellen
5.0,"July 31, 2021",No title,They are early in more days. Thank you.,Miriam
5.0,"July 31, 2021",Always the best,Why wouldn't anyone like this item? Especially now. Likes RemovalFor dormsValue for moneySanitizingFor the environment,Susan
5.0,"July 30, 2021",Very nice deal reasonably priced,Such a good deal love being stocked up,adrienne
5.0,"July 30, 2021",No title,These are very good for class rooms.,Ghaziani
5.0,"July 30, 2021",No title,I like these Clorox wipes for cleaning the bathroom. And they are requested on daughters school supply list.,Jessica
5.0,"July 28, 2021",Hands Down The Best Wipe Ever!,Clorox products are always the best choice. No strong scent. No irritants. Highly recommend,Alicia
5.0,"July 28, 2021",No title,Nothing like Clorox products,Fiesta
1.0,"July 27, 2021",I'll need a refund. It's got to be our hot temps?,all the liquid was drained out of all three containers and the paper was peeling off the sides of each of them by the time and took the outer plastic off. They must have tipped inside of the box or got too hot inside the truck or something. I'm not sure.,June
5.0,"July 27, 2021",The real deal,The real deal. Its effective Likes SanitizingVersatilitySentTouchAppearance,Nene
5.0,"July 26, 2021",Excellent,"Great price, product and service Likes For petsConvenienceCleanlinessBathroomCountersStrength",kathleen
5.0,"July 26, 2021",Highly recommend,Cleans hard to clean surfaces Likes Ease of useFor dormsFor parentsCleanlinessFeatures,Mallazine
5.0,"July 25, 2021",This is a must,This is a must have in any house hold! They work amazing and keep all those unwanted nasty germs away! They also smell soooo clean!,sarahleeanns
5.0,"July 24, 2021",No title,Great price for the product,Anna
5.0,"July 24, 2021",No title,"Stock up now, round 2 will be starting soon",WalmartCustomer
5.0,"July 24, 2021",Great for cleaning.,Great to be able to get Clorex wipes again. Likes For travelTime saverQualityCleanlinessFreshness,Momm
5.0,"July 24, 2021",Super Clorox,"Love these, easy disinfecting and clean ups",gunn
5.0,"August 3, 2021",Thank you!,This is good price and great product!,Mark
2.0,"July 23, 2021",No title,All three packs of wipes leaked and the outsides of the containers were so wet that the lablels were coming off.,Joyce
5.0,"July 23, 2021",No title,This a good buy did feel like going out that week in because weather reason Im the house have everything at hand an a good buy,Linda
5.0,"July 23, 2021",No title,Ive used these before and they work for me.great Likes SturdinessBathroomFeaturesTouchConvenience,Maggy74
5.0,"July 22, 2021",No title,"goid deal though inflation has upped everything, speedy shipment.",Me
5.0,"July 22, 2021",Love this product! Love,"Love this product! Love the scent, the packaging, the ease of use. My husband uses them all the time. They have a nice texture and wipe away the mess all at once! Definitely recommend!",roseyg9493
